# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
1 -0.12590334751324597 -0.23492645738863338 -0.052614378190809614 0.9623874655830571 0.5903455364230069 0.08302936749476955 0.3808616195991678 1 20251010T192547_773_791713d0f4ad.png

2 -0.12368758565768184 -0.2235143159752705 -0.05681317714297625 0.9651502445791543 0.5880922788756063 0.11094140368448281 0.3669841433393419 1 20251010T192648_646_b72351c3f27c.png

3 -0.12585501910920666 -0.18495872077630235 -0.05185484925795246 0.9732737849044584 0.6063902457995105 0.14523986420393878 0.3167011799746437 1 20251010T192747_470_28f352677b83.png

4 -0.12174517829021655 -0.25473162691171825 -0.0607785553708757 0.9573901383558439 0.558039443278121 0.12672222707187156 0.4088879115044489 1 20251010T192821_468_4e64b4001ff1.png

5 -0.12294142514185934 -0.2354234549839756 -0.05831979699916558 0.9623201151932099 0.5728016416303889 0.13217306258225234 0.3839806254407573 1 20251010T192848_041_93f02eb993f6.png

6 -0.12014762541652889 -0.2800667054351817 -0.06401228744688506 0.9502787042069658 0.5464533121710771 0.08499874667705218 0.43883829588623646 1 20251010T192921_883_ae32a4fbb7b0.png

7 -0.12014342514864572 -0.2800672545305749 -0.06401362098304998 0.9502789835947634 0.5533435954658454 0.05987678536064919 0.43741887289849585 1 20251010T192938_665_30b187650497.png

8 -0.12013517945558294 -0.2800610890072919 -0.06401387496854939 0.9502818260351691 0.5562819636561652 0.04916125950695681 0.4368145101575776 1 20251010T193000_931_103295589784.png

9 -0.12017810262970098 -0.28005741600669704 -0.06402956573978352 0.9502764240467884 0.5631363584226518 0.024238939377161876 0.43540077149077305 1 20251010T193016_613_4f910680d3af.png

10 -0.12651668819332865 -0.17357691095157682 -0.05039832987800125 0.9753586991146429 0.6390402855713277 0.05296877031108142 0.295774432387022 1 20251010T193043_465_0a481f50abab.png

11 -0.12916269877504394 -0.11884689828762487 -0.043273821007068974 0.9835241676888302 0.6677274819069491 0.0565893815758936 0.21883007060685594 1 20251010T193121_516_c0abb5efba41.png

12 -0.12571588434071604 -0.1888942784448055 -0.05239927258738617 0.9725064443115844 0.6354420486249882 0.04444760768556337 0.34184705308865615 1 20251010T193346_988_2154bdcb074a.png

13 -0.12574292524119857 -0.18888600812685466 -0.052407704059859984 0.9725041003722619 0.621770511937283 0.09282308879792091 0.3981653909792719 1 20251010T193425_565_124fdf28809e.png

14 -0.12311237148902587 -0.15787778529128269 -0.04731568249283531 0.9786108394495254 0.6328612360988412 0.14738899318831697 0.35776795995866145 1 20251010T193504_337_d77bd46dff8c.png

15 -0.12057070040878398 -0.20758733351524883 -0.0535446056944619 0.9692797224578613 0.5957762517517508 0.13378899180426965 0.4261376976285713 1 20251010T193522_075_d8043ddb437e.png

16 -0.12052072142393609 -0.20760239817933263 -0.05353962484137273 0.9692829868255652 0.6028906857528656 0.10693296456066917 0.4246685318831199 1 20251010T193542_475_19f26a235d17.png

17 -0.12040435736339918 -0.20759859562056449 -0.05352315352679798 0.9692991725266369 0.6124434876065415 0.07089920751228741 0.42265411350615617 1 20251010T193602_258_9495835440ac.png

18 -0.12034862835227048 -0.20761675287337902 -0.053525580852288694 0.9693020704478386 0.6208718100128814 0.03907886034085288 0.42090583780030044 1 20251010T193616_028_db75c87992ec.png

19 -0.12369191929867915 -0.14199502697168206 -0.04531582953023205 0.9810627895346492 0.6683007594694187 0.05673621262412387 0.32998606397916214 1 20251010T193635_237_8c06391399af.png

20 0.06432061677734034 -0.22059918106633492 -0.10596537529254256 0.9674555280783481 0.593404789261163 -0.1811263933736091 0.41539586741234713 1 20251010T193739_232_160ffcc98a4b.png

21 -0.020932730530938984 -0.22903969390583767 -0.0861843424281521 0.969368298701926 0.5976167793268947 -0.04953542224155379 0.44389820886697917 1 20251010T193810_033_452a7c11da2c.png

22 -0.16298029526116803 -0.23917716939045866 -0.05178106436606818 0.9557983188790758 0.557413822624816 0.17048360011964236 0.4679396342211526 1 20251010T193832_939_bf4efb696603.png

23 -0.18484601943417953 -0.2227020899946794 -0.1418041835482007 0.9466400064119247 0.5674110228040584 0.15263259584781663 0.4611818085220729 1 20251010T193905_498_7c2528bf5f55.png

24 -0.09981148929549706 -0.22004311482523828 -0.08946263760569113 0.9662376160630751 0.6001123369366169 0.0318891198242733 0.4391203070974298 1 20251010T193942_698_acb711728512.png

25 0.08922667402745828 -0.20015383857664024 0.020505438526649728 0.9754776104738969 0.5845905654256823 -0.18932428413756824 0.4150149401623491 1 20251010T194005_210_72340b673145.png

26 -0.008926725487892834 -0.21169453040255415 -0.0367812563237585 0.9766027229907521 0.5954491457317671 -0.07473875129433086 0.3772912026687852 1 20251010T194102_641_354da9990b35.png

