# 3D point list with one line of data per point:
# POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 879, mean track length: 2.0534698521046644
193 0.8348663211868322 -0.039870571665290115 -0.39384786973847774 105 103 105 0.01789269299835445 2 1761 3 1651
194 0.9374216900789939 -0.051604310578602035 -0.39426710865824927 175 185 185 0.2867596088590921 2 1785 3 1658 26 1305
195 0.9374216900789939 -0.051604310578602035 -0.39426710865824927 175 185 185 0.2867596088590921 2 1786 3 1659 26 1304
196 0.9343154052881375 -0.05308710832397074 -0.3945437378398687 42 40 39 0.35333171287590137 2 1790 3 1661 26 1310
197 0.9874608936233772 -0.057389076008725295 -0.38152455717859296 64 67 73 0.11680920720125901 3 1665 12 897
198 0.9874608936233772 -0.057389076008725295 -0.38152455717859296 64 67 73 0.11680920720125901 3 1666 12 898
199 0.9874608936233772 -0.057389076008725295 -0.38152455717859296 64 67 73 0.11680920720125901 3 1667 12 899
200 0.8702565231549164 -0.057954442132786915 -0.3924520029739828 173 176 177 0.024871196115352125 2 1841 3 1706
201 0.9293734799085528 -0.06325474981301824 -0.39190178395922903 41 38 41 0.00985605496495589 2 1842 3 1702
202 0.9293734799085528 -0.06325474981301824 -0.39190178395922903 41 38 41 0.00985605496495589 2 1843 3 1703
203 0.8760759590804583 -0.05972870771633112 -0.39339378700779726 35 31 35 0.007804754012823546 2 1849 3 1709
204 0.8760759590804583 -0.05972870771633112 -0.39339378700779726 35 31 35 0.007804754012823546 2 1850 3 1710
205 0.8679512725600392 -0.0609314851541577 -0.3926368702931965 167 170 169 0.012665772119887597 2 1862 3 1717
206 0.8608871979614675 -0.06774508557507077 -0.3928917935800464 33 33 37 0.01740137991966725 2 1886 3 1737
207 0.9160705501594789 -0.07731911968720594 -0.3935479463156661 163 166 165 0.03010261849276574 2 1897 3 1745
208 0.9621794617435051 -0.08230579353825407 -0.3913831576623334 186 189 189 0.02120376131503332 2 1899 3 1746
209 0.9004259646946756 -0.08077467258781584 -0.39254941186475084 24 26 32 0.02763325139067469 2 1911 3 1760
210 0.8607550507866026 -0.0814926424127183 -0.39850532924458654 20 25 24 0.01953723201900278 2 1921 3 1776
211 0.9104297695173337 -0.08627706675988096 -0.3910676109051365 23 26 25 0.03269562041330873 2 1922 3 1778
212 0.906258096945528 -0.08866257402356639 -0.39338557887320197 30 32 38 0.009368717296937773 2 1927 3 1782
213 0.9032258282043599 -0.08950183678288028 -0.3966397654856218 24 27 29 0.3963829260591545 2 1928 3 1783 26 1404
214 0.9075311335533527 -0.09273488573061842 -0.39382544561855864 167 170 169 0.0029576977241575868 2 1935 3 1790
215 1.0740304124163773 0.1398213899026642 -0.3800703977394736 137 138 137 0.03363028854342587 2 636 5 1142
216 1.079548870166181 0.1390066967910058 -0.3846411067060335 105 99 101 0.0039684224295219095 2 646 5 1154
217 1.0825469519902735 0.13619903924869972 -0.38109122333377726 113 110 106 0.006146731451620532 2 649 5 1161
218 1.0745682431360826 0.13327297947088118 -0.3812720594853143 150 151 150 0.0009538769397387578 2 657 5 1174
